技術スキル,その他特徴,金額,要約
"インフラ構築(2-3年), Linux, 仮想基盤におけるOS・ミドルウェア設定, 証券業務知識, Java, Oracle",案件名: コンプライアンスWAN更改に伴う仮想基盤マイグレーション対応（メンバー枠）。現行RHEL5.9/Oracle11gR2/IHS8.5/WebSphere8.5/FINALUNA+Struts1.1/Java1.7からRHEL8or9/Oracle19c_21c/Apache2.4.x/Tomcat9.x/TERASOLUNA+SpringMVC/OpenJDK17への移行。仮想基盤上のOS・ミドルウェア設定、データ移行が主な対象。勤務地: 東京都・西葛西（テレワークあり）。期間: 2026年1月～長期。面談: WEB面談1～2回。募集人数: SE 1名。PC貸与あり。外国籍不可。商流: 貴社まで（支援費可能であれば1社先可）。,"50-60万円/月目安 (スキル見合い, 稼働160h/月目安, 精算幅140h-180h)",インフラ/Linux/仮想基盤上でのOS・ミドルウェア設定・構築・データ移行を含む仮想基盤マイグレーション案件。2026年1月～長期、西葛西（リモート併用）。単価50-60万円目安。外国籍不可。
"インフラ構築, Linux, 仮想基盤, OS・ミドルウェア設定, Oracle, Apache, Tomcat, Spring MVC, Java","勤務地:東京都・西葛西(テレワークあり), 期間:2026年1月～長期, 精算幅:140h～180h/月, 面談:WEB1-2回, 募集人数:1名, PC貸与あり, 外国籍不可, 商流:1社先可, 尚可:証券業務・取引所関連業務知識",50-60万位目安,コンプライアンスWAN更改に伴う仮想基盤マイグレーション対応（メンバー枠）。現行共通基盤と新共通仮想基盤の差分を要件定義で整理し、システム構成を確定。既存ソースを利用したミドルウェアバージョンアップ、フレームワーク変更等のマイグレーション。仮想基盤上のOS・ミドルウェア設定、データ移行が主な対象。
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ構築, 仮想化基盤, Active Directory, クライアント管理ツール, 障害対応","外国籍可, 年齢不問, 大規模ユーザー環境のクライアント基盤運用・保守/更改, 長期案件, 神谷町勤務, 2名募集, 即日〜長期, 休日/夜間作業可能性あり",75万,大規模ユーザー環境のクライアント基盤運用・保守・更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験者を募集。神谷町勤務で即日〜長期、2名体制。外国籍・年齢不問。
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ, 仮想化基盤, Active Directory","外国籍可, 即日～長期, 2名募集, 大規模ユーザー環境, 基盤運用・保守, 更改案件, 神谷町勤務, 国籍・年齢不問",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守・更改案件にて、仮想デスクトップやWindowsクライアントの運用・構築経験があるエンジニアを2名募集。神谷町勤務、即日～長期。外国籍・年齢不問。単価スキル見合い（75万）。
"Java, Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Spring, Struts, TERASOLUNA, 仮想基盤, ミドルウェア設定, データ移行, 要件定義","オンプレ基盤経験, リーダー経験尚可, 自走できる方, コミュニケーション能力, 西葛西常駐, 期間:2026年1月～7月末, 年齢制限:55歳まで, 外国籍不可, 商流制限:貴社所属まで",スキル見合い (精算: 140-180),"【コンプライアンスWAN更改】株式市場における不正行為情報共有システム基盤更改プロジェクトにおけるインフラエンジニア募集。仮想基盤上のOS(RHEL)、DB(Oracle)、AP/Webサーバ(Apache, Tomcat, WebSphere)、Javaフレームワーク(TERASOLUNA, Spring, Struts)のマイグレーション(設計構築、ミドルウェア設定、データ移行)を担当。Linux設計構築、オンプレ基盤要件定義経験が必須で、自走できる方、リーダー経験者を歓迎。"
"AWS, Linux, UNIX, Windows, 仮想化基盤, 運用保守, サービスサポート, ドキュメント作成","動き早め, 12月～/即or1月～長期, リモート併用 (慣れるまで常駐、その後週2程度リモート), 勝どき, 外国籍不可, 面談2回, 貴社1社下まで (所属会社名開示あり), トラブル対応時直接連絡あり, 30-45歳以下, 勤務時間9時～18時, 一斉配信・WEB掲載NG",55万前後(スキル見合い),AWS、Linux環境におけるインフラ構築・運用保守要員（1名）の募集。運用設計書や手順書等のドキュメント作成経験が必須。勝どきで週2回程度のリモート併用が可能。12月または1月からの長期案件で、単価は55万前後（スキル見合い）、対象年齢は30～45歳。動きが早く、一斉配信・WEB掲載は不可。
"仮想化環境構築, OpenStack, Linux, TCP/IP, TeraTerm, Wireshark","場所: YRP野比駅 (常駐), 期間: 12月～2026年10月, 精算: 140-180h, 面談: 2回 (1回目弊社同席), 備考: 定時9:30-18:30, 年齢～50代, 商流御社まで, 外国籍不可, その他スキル: Office製品(ビジネスレベル), コミュニケーション力",～MAX75万,通信キャリアシステムのOpenStackベース仮想化基盤（VNFM）更改に伴う業務。仮想化機能の検証、VM生成・削除等の基盤操作、VNFM担当とAPLベンダ間の調整、試験管理、設計書レビュー、ドキュメント修正を行う。
"Linux, RHEL, 仮想基盤, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, Struts, TERASOLUNA","勤務地:西葛西(常駐), 期間:2026年1月～7月末, 精算:140-180, 募集人数:1名, サイト:45日, 就業時間:9:30～18:00, 面談:2回, 商流:元請け→上位→GFD, 年齢制限:55歳まで, 商流制限:貴社所属まで, 外国籍制限:不可, その他要件:若手枠, 自走力, コミュニケーション能力, 問題解決能力, 健康面不安なし",50万円前後,"株式市場の不正行為情報共有システム基盤更改プロジェクトの案件。既存の仮想基盤上でOS・ミドルウェア設定、データ移行を実施。RHEL, Oracle DB, Apache, Tomcat, Java等のバージョンアップがメイン。Linux構築経験、仮想基盤上のOS・ミドルウェア設定経験が必須。西葛西常駐で2026年1月～7月末まで。自走力とコミュニケーション能力が求められる。"
"SecureDesktop（Soliton）, AD, Citrix VDI, 基本設計, マスターイメージ作成・チューニング経験, 仮想アプリ/デスクトップ環境調整経験","VDI刷新およびEntra ID移行プロジェクト, オンプレAD環境の現状把握, Entra ID移行設計・構築, ドメイン変更対応, SSO構成設計・設定, ドキュメント作成, 勤務時間:10:00-18:30, 面談2回, エンド直案件",75万,グループ合併に伴うVDI刷新（CitrixからSecureDesktopへ）およびEntra ID移行プロジェクト。AD環境把握、Entra ID移行設計・構築、ドメイン変更、SSO構成設計、ドキュメント作成など。SecureDesktop/ADの基本設計経験3年以上、マスターイメージ作成・チューニング経験、Citrix VDI基本設計経験が必須。12月～参画の案件。
"ネットワーク (FW, L3, L2, AP, 無線LAN), Windows, Linux, 仮想基盤, ネットワーク設計構築, SV設計構築","官公庁案件, 飯田橋, 週2～3リモート, 月数回の客先対応(虎ノ門)・地方出張あり, 商流貴社まで, 外国籍不可, 個人事業主不可, 45歳まで, 11月～2026年02月 (中長期), 面談Web1～2回",~65万,EBAテック株式会社からの、官公庁向けネットワーク更改案件における設計構築要員（1名）の募集。主な業務はネットワーク機器の設計構築、現地対応、成果物作成。飯田橋（週2～3リモート可）、単価～65万円。ネットワーク詳細設計・構築・試験経験が必須。商流は貴社まで、外国籍・個人事業主不可、45歳までの制限あり。
"インフラ運用保守, 障害対応, Linux, DB, ネットワーク, PHP, Python, クラウド, 仮想化, サーバ運用","IoTサービスインフラ運用保守, 浜松町駅常駐, 即日～長期, 1名募集, 面談1回, 商流貴社まで, 140-180H, 30代まで, 外国籍不可, オフィスカジュアル",60万円まで,IoTサービスにおけるインフラ運用保守案件の募集。浜松町駅での常駐で、Linux、DB、ネットワークに関するスキルが必須。月額単価は60万円までで、即日から長期で働ける方を求めている。
"Linux設計構築, オンプレ基盤要件定義, 仮想基盤OS設定, ミドルウェア設定, データ移行, RHEL, Oracle DB, Apache, Tomcat, WebSphere Application Server, TERASOLUNA Server Framework for Java, Spring MVC, Struts, Java, OpenJDK","リーダー経験者歓迎, 自走可能, コミュニケーション能力, 西葛西常駐, 2026年1月～7月末, 募集1名, 精算140-180, サイト45日, 就業時間9:30～18:00, 面談2回(web・対面未定), 商流(元請け→上位→GFD, 貴社所属まで), 年齢制限55歳まで, 外国籍不可, 指示待ち不可, 要件要望抽出・解決能力, 健康面不安なし",スキル見合い (精算140-180),"【コンプライアンスWAN更改】不正行為情報共有システムの基盤更改プロジェクト。仮想基盤上のOS・ミドルウェア設定、データ移行、新旧仮想基盤の差分整理とシステム構成確定、および既存システムのマイグレーション（RHEL, Oracle DB, Apache, Tomcat, Java, Spring MVC等へのバージョンアップ・フレームワーク変更）を担当。西葛西常駐、2026年1月～7月末の案件。"
"NW(物理/仮想/VPN等)環境の運用保守業務経験2年以上、Linux/Windowsサーバー運用設計/運用業務経験2年以上、Zabbixでの監視運用（監視設計・監視設定）、ベンダー調整/対ユーザー向けレポーティング経験、運用設計書/手順書など運用マニュアル作成経験、自発的な業務調整/セルフマネジメント能力。尚可: WSUS/アンチウイルス管理の環境構築/運用実務経験、bash/Python/batch等のスクリプト実装経験、NW運用保守における2次対応経験（インシデント/問題/変更/構成管理）。環境: OS: RHEL9, WindowsServer2022、SW: Cisco C9200/C891, NEC IX, Fortigate等、HW: HP, DELL、MW: ESXi8, vSAN, Zabbix7, CyberArk等。",場所: リモートワーク（必要に応じて竹橋で打合せ、スキル感により地方も可）。期間: 12月～長期（短期NG）。面談: 2回（1回目弊社同席、結果早め、事前に菅原とのコミュニケーション確認必須）。備考: 定時9:00-17:30、外国籍不可、商流御社まで、年齢50代まで。夜間休日対応、現場駆け付け対応発生可能性あり。特権ID管理システムの運用業務も担当（セキュリティ/監視基盤の運用設計・導入）。職務を熟すため業務量が多くなる可能性あり。,75万円 (精算140-180h),某コンビニ系NWシステム環境監視及びインフラ基盤の運用保守案件。運用設計、ドキュメント整備・改善、NW機器/通信に関する障害・問合せの2次対応、トラブルシューティング、運用改善提案を実施。特権ID管理システムのセキュリティ業務及び監視基盤（Zabbix含む）の運用設計・導入も担当。NW/サーバ運用設計経験とZabbix経験が必須。単金75万円、長期案件。リモート主体だが竹橋での打合せや、夜間休日/駆け付け対応の可能性あり。
必須: ネットワークに関する知識（L2～L4）、AWS/Azureなどのクラウド環境での設計・構築経験、無線APキッティングの経験（PC、スマートフォン端末の無線LAN接続含む）。その他: ネットワークに関する知識（L2～L4、L7、IPS、負荷分散、キャリア選定など）、クライアント認証の知識（LDAP、SAML、クライアント証明書）、ストレージ/仮想化技術（Hyper-V、Vmware、KVMなど）の知識・構築経験、Windows/Linuxサーバ構築・運用経験、PM/PL経験（進捗、課題、品質などの実務経験）、エンドユーザ向け提案活動/資料作成経験。,作業場所: 大手町および大崎（在宅勤務あり、月3-4回程度大手町でクラウドwifi設定作業あり）。作業期間: 1月～3月（長期可能性あり）。人数: 1名。概要: NTTグループ向けネットワーク関連サービスプロジェクト支援（無線APキッティング、ヘルプデスク、見積、設計・構築、ドキュメント作成・管理、営業・PM支援）。面談: 2回、Web。精算: あり。商流: 貴社希望。国籍: 日本。,スキル見合い,GCJからのネットワーク支援案件。大手町・大崎での勤務（在宅あり）。1名、1月～3月（長期可能性あり）。NTTグループ向けに無線APキッティング、ヘルプデスク、ネットワーク設計・構築、ドキュメント作成、営業・PM支援。必須スキルはL2-L4ネットワーク知識、AWS/Azureクラウド経験、無線APキッティング経験。
必須: インフラ運用保守経験（2年以上）、障害対応経験、LinuxをCUIで操作できる方、DBのデータ構造の概念がある方、ネットワークに関する基本知識。尚可: DBの構築、設定経験、PHPやPythonのコードの読み取りが出来る方、クラウド/仮想化環境に関する知識、サーバ運用経験（物理/仮想問わず）。,案件名: IoTサービス／インフラ運用保守、作業場所: 浜松町駅（常駐）、募集人数: 1名、開始期間: 即日～長期、面談回数: 1回、商流制限: 貴社まで、時間幅: 140-180H、年齢: 30代まで、外国籍: 不可、服装: オフィスカジュアル。,月額単価：60万円まで,IoTサービスのインフラ運用保守案件です。浜松町での常駐で、Linux、DB、ネットワークの経験必須。単価60万円まで、30代までの人材を募集しています。
"ビジネスレベル英語, Microsoft365（Intune）の知見・経験, 仮想デスクトップソリューションの管理業務経験","交代枠, 大手金融機関（海外支店）向け端末管理支援案件, ポジション:メンバー, 募集人数:1名, 開始時期:即日～(相談可), 勤務地:大崎(出社頻度応相談), 契約形態:派遣or準委任, 面談回数:2回, 支払いサイト:35, 精算幅:固定, エンド直案件",Max80万,大手金融機関（海外支店）のIntune関連案件で、離任に伴う交代枠としてビジネスレベルの英語力とMicrosoft365（Intune）の知見・経験を持つメンバーを募集。即日開始可能で、Max80万円（スキル見合い）。勤務地は大崎。
"【必要スキル】ネットワーク詳細設計・構築・試験経験、無線LAN構築経験、設計資料レビュー経験、品質を意識した成果物作成経験、地方出張対応可能なこと【尚可スキル】SV設計/構築/試験経験（Windows, Linux, 仮想基盤）","【案件名】ネットワーク更改案件における設計構築要員（官公庁）【業務内容】行政機関向けネットワーク更改案件、各拠点ネットワーク機器（FW, L3, L2, AP等）の設計構築および現地対応、下請けベンダとの作業調整・業務連携・現地対応、成果物（設計資料、運用手順書等）の作成【期間】11月～2026年02月（中長期）【作業場所】飯田橋、もしくはリモート 週2～3回可【募集人数】1名【面談】1～2回 ※Web【備考】月数回の客先対応の可能性あり（虎ノ門）、月数回の地方出張の可能性あり、商流制限：貴社まで、外国籍不可、個人事業主不可、45歳まで",~65万,EBAテック株式会社からのネットワーク更改案件における設計構築要員（官公庁向け）の募集です。飯田橋またはリモート（週2～3回）で、期間は11月～2026年02月。ネットワーク詳細設計・構築経験と無線LAN構築経験が必須で、単価は～65万。外国籍、個人事業主不可、45歳までの年齢制限があります。
"ネットワーク詳細設計・構築・試験経験, 無線LAN構築経験, 設計資料レビュー経験, 品質を意識した成果物作成経験, SV設計/構築/試験経験 (Windows, Linux, 仮想基盤), 環境: FW, L3, L2, AP, 無線LAN, Windows, Linux, 仮想基盤","案件名: ネットワーク更改案件における設計構築要員（官公庁）, 期間: 11月～2026年02月（中長期）, 作業場所: 飯田橋またはリモート週2～3回, 募集人数: 1名, 面談: 1～2回 (Web), 備考: 月数回の客先対応（虎ノ門）, 月数回の地方出張, 商流制限(貴社まで), 外国籍不可, 個人事業主不可, 45歳まで",～65万,"官公庁向けネットワーク更改案件における設計構築要員。FW, L3, L2, AP等の設計構築および現地対応。飯田橋/リモート週2-3日可。ネットワーク詳細設計・構築経験必須。単価～65万。45歳まで。"
必須: ネットワーク知識(L2～L4)、AWS/Azureなどのクラウド環境での設計構築経験、無線APキッティング経験。 歓迎: ネットワーク知識(L2～L7、IPS、負荷分散、キャリア選定など)、クライアント認証知識(LDAP、SAML、クライアント証明書)、ストレージ/仮想化技術知識・構築経験、Windows/Linuxサーバ構築運用経験、PM/PL経験、エンドユーザ向け提案活動・資料作成経験。,作業場所: 大手町、大崎、在宅勤務あり（月3-4回大手町で作業）。期間: 1月～3月（長期可能性あり）。人数: 1名。面談: 2回（Web）。商流: 貴社希望。国籍: 日本。精算: あり。,スキル見合い,NTTグループ向けネットワーク関連サービスプロジェクト支援。無線APキッティング、ヘルプデスク、見積（工数積算）、設計、構築、ドキュメント作成・管理、営業・PM（要件定義）支援など。
"Linux構築経験(設計あれば尚良), 仮想基盤上のOS・ミドルウェア設定経験, RHEL8/9, Oracle DB Server 19c/21c, Apache2.4.x, Tomcat 9.x, TERASOLUNA Server Framework for Java 5.X, Spring MVC, OpenJDK 17",業務内容: コンプライアンスWAN更改における仮想基盤上のOS・ミドルウェア設定、データ移行、マイグレーション。場所: 西葛西（常駐）。期間: 2026年1月～7月末。精算: 140-180。募集人数: 1名。サイト: 45日。就業時間: 9:30～18:00。面談: 2回(web・対面未定)。商流: 元請け→上位→GFD。年齢制限: 55歳まで。商流制限: 貴社所属まで。外国籍制限: 不可。備考: お客様と自発的にコミュニケーションが取れ、自走できる方、指示待ちでない方、適宜打合せを実施し要件要望を抽出し解決できる方、健康面で不安のない方。,50万円前後,GFDからのインフラ案件募集。コンプライアンスWAN更改プロジェクトにて、既存システムのOS/ミドルウェア/FW/DB/Javaのマイグレーションを実施。Linux構築経験、仮想基盤上のOS・ミドルウェア設定経験が必須。西葛西常駐、2026年1月～7月末、単価50万円前後。自走能力とコミュニケーション能力が求められる。
"Red Hat Enterprise Linux, Windows Server, VMware vCenter Server Appliance, BIND, chrony, PRIMECLUSTER HA Server, Veeam Backup & Replication, VMware Multi-Pathing plug-in for ETERNUS, Veeam Backup & Replication（エージェント）, PostgreSQL, Red Hat Ansible Automation Platform, ETERNUS SF Storage Cruiser, Infrastructure Manager Advanced Edition, 運用設計（監視・ジョブ設計など）, 仮想ストレージ関連の経験, メインフレーム移行に関わるプロジェクト経験","官公庁向けシステム基盤モダナイゼーション支援, サーバー運用設計・構築, 急募, 面談設定済み(18日19時), 対面面談1回即決, 交代枠, 作業期間:2026年1月～長期, 作業場所:東中野(常駐), 精算:140h～190h, 勤務時間:9:00～17:50, ~50歳目安, 外国籍不可, 長期参画歓迎",～65万円目安,"官公庁向けシステム基盤モダナイゼーション支援におけるサーバー運用設計・構築案件。Red Hat Enterprise Linux, Windows Server, VMwareなどの設計経験を持つ運用設計・基盤構築エンジニアを急募。単価目安～65万円。"
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, Spring MVC, TERASOLUNA, 仮想基盤",コンプライアンスWAN更改案件。既存システムの基盤更改（マイグレーション）。西葛西常駐。2026年1月～7月末。募集1名。面談2回。年齢55歳まで。外国籍不可。自走してコミュニケーションが取れる方（指示待ち不可）。リーダー経験尚可。,75～80万円 (精算140-180),GFDからのコンプライアンスWAN更改案件。Linux設計構築経験が最重要で、RHEL、Oracle DB、Apache、Tomcat、Java等のマイグレーション経験者を募集。西葛西常駐、2026年1月～7月末、単価75～80万円。自走できる方を希望。
"AWS, UNIX, Linux, Windows, 仮想化基盤, DRP","システム運用要員(リーダー候補), 勝どき(週2リモート併用可), 12月～長期, 1名, 外国籍不可, 30-50歳以下, 商流1社下, 再募集, 動き早い, 即or1月~, 短期経験少ない方, 一斉配信・WEB掲載不可",~65万(スキル見合い),"システム運用要員（リーダー候補）の募集。AWS, UNIX, Linux, Windows等のオープン系システム基盤運用保守経験5年以上必須。勝どき（週2リモート併用可）、12月～長期。単価～65万。30-50歳以下、外国籍不可。再募集で動きが早い案件。"
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ, 仮想化基盤, クライアント管理ツール, Active Directory","外国籍可, 年齢不問, 大規模ユーザー環境, クライアント基盤運用・保守/更改, 長期安定案件, 2名募集, 神谷町勤務, 即日～長期, 休日作業・夜間作業の可能性あり, エンド直案件",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守/更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験者を募集。神谷町勤務、即日～長期、2名体制。単価はスキル見合い（75万）。外国籍・年齢不問。
"AWS, Linux, UNIX, Windows, 仮想化基盤, インフラ運用保守","運用設計書・手順書等のドキュメント作成スキル必須, サービスサポート経験, 短期案件経験が少ない方, 外国籍不可, 年齢30-45歳以下, 勝どき勤務（慣れるまで常駐、その後週2程度リモート）, 即or1月～長期, 1名募集, 勤務時間9時～18時, 貴社1社下まで（所属会社名開示あり）, トラブル対応時直接連絡可能性あり, 一斉配信・WEB掲載不可",~60万(スキル見合い),AWS、Linux等のオープン系システム基盤の構築・運用保守経験4年以上、およびドキュメント作成経験のあるインフラ運用要員の募集。勝どき勤務（リモート併用）で長期案件。単価はスキル見合いで～60万円。
"SecureDesktop(Soliton), AD, Citrix VDI, マスターイメージ作成・チューニング, 仮想アプリ/デスクトップ環境調整","VDI刷新およびEntra ID移行プロジェクト, 基本設計, グループ合併に伴うシステム統一, オンプレAD現状把握, Entra ID移行設計・構築, ドメイン変更対応, SSO構成設計・設定, ドキュメント作成, エンド直案件, 勤務時間: 10時～18時30分, 面談: 2回",75万,EBAテック株式会社の河野様より、VDI刷新およびEntra ID移行プロジェクトの案件情報。SecureDesktop/AD/Citrix VDIの基本設計経験者を募集。マスターイメージ作成・チューニング経験、仮想アプリ/デスクトップ環境調整経験が必須。単価は75万円で、エンド直案件。
"Linux, 仮想基盤, 上流工程, Java, Oracle","西葛西(リモート併用), 長期, WEB面談1-2回, PC貸与, 外国籍不可",~75万円/月 (140-180h),株式市場の不正行為情報共有システムの基盤更改に伴う仮想基盤マイグレーション。OS/ミドルウェア設定、データ移行が主。現行RHEL5.9/Oracle11gR2/WebSphere8.5からRHEL8or9/Oracle19cor21c/Tomcat9.xへの移行。
"ネットワーク詳細設計・構築・試験, 無線LAN構築, 設計資料レビュー, FW, L3, L2, AP, Windows, Linux, 仮想基盤, SV設計/構築/試験","官公庁案件, 飯田橋, 週2～3リモート可, 月数回虎ノ門客先対応, 月数回地方出張あり, 期間: 11月～2026年02月（中長期）, 募集人数: 1名, 商流制限: 貴社まで, 外国籍不可, 個人事業主不可, 45歳まで, 面談: 1～2回（Web）",～65万,"行政機関向けネットワーク更改案件における設計構築要員。FW, L3, L2, AP等の設計構築および現地対応。ネットワーク詳細設計・構築・試験経験、無線LAN構築経験が必須。飯田橋、週2～3リモート可。単金～65万。外国籍・個人事業主不可、45歳まで。"
"Linux, RHEL, Oracle DB, Apache, Tomcat, WebSphere, Java, OpenJDK, Spring MVC, TERASOLUNA, FINALUNA, Struts, 仮想基盤","リーダー経験, 自走力, コミュニケーション能力, 西葛西常駐, 2026年1月～7月末, 精算140-180, サイト45日, 9:30～18:00, 面談2回, 商流元請け→上位→GFD, 年齢55歳まで, 貴社所属まで, 外国籍不可",75～80万円,コンプライアンスWAN更改案件。株式市場の不正行為情報共有システムの基盤更改におけるOS・ミドルウェア設定、データ移行、マイグレーション作業。RHEL、Oracle DB、Apache、Tomcat、Java等のバージョンアップが主な業務。Linux設計構築経験が最重要で、自走力とコミュニケーション能力が求められる。西葛西常駐、2026年1月～7月末までの案件で、単価は75～80万円。年齢55歳まで、外国籍不可。
"Red Hat Enterprise Linux, Windows Server, VMware vCenter Server Appliance, BIND, chrony, PRIMECLUSTER HA Server, Veeam Backup & Replication, VMware Multi-Pathing plug-in for ETERNUS, PostgreSQL, Red Hat Ansible Automation Platform, ETERNUS SF Storage Cruiser, Infrastructure Manager Advanced Edition, 運用設計, 仮想ストレージ設計, メインフレームからの移行案件経験",官公庁データ管理システムのモダナイゼーション案件。メインフレーム基盤からオープン基盤へのリプレース、運用設計＋仮想化基盤担当。2026年1月～長期。東中野勤務。複数名募集。面談設定済み（1回、現地対面）。勤務時間9:00～17:50。外国籍不可。エンド直案件。,65~70万※スキルによって上振れあり,"官公庁データ管理システムのモダナイゼーション案件で、メインフレームからオープン基盤へのリプレースにおける運用設計・仮想化基盤担当を複数名募集。2026年1月～長期、東中野勤務。Red Hat Linux, Windows Server, VMware等の設計スキルが必須。単価は65～70万円で、面談は既に設定済み。"
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ, 仮想化基盤, クライアント管理ツール, Active Directory","大規模ユーザー環境のクライアント基盤運用・保守／更改案件, 神谷町, 即日～長期, 2名募集, 休日・夜間作業可能性あり, 外国籍・年齢不問",75万（スキル見合い）,大規模ユーザー環境のクライアント基盤運用・保守／更改案件。仮想デスクトップ、Windowsクライアント、Windowsサーバの運用・構築経験者を募集。神谷町勤務、即日～長期、2名募集、単価75万（スキル見合い）。外国籍・年齢不問。
"仮想デスクトップ, Windowsクライアント, PowerShell, Windowsサーバ, 仮想化基盤, クライアント管理ツール, Active Directory","外国籍可, 基盤運用・保守, 大規模クライアント環境, 長期安定, 勤務地:神谷町, 開始時期:即日～長期, 人数:2名, 国籍・年齢不問, 休日/夜間作業可能性あり",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守／更改案件。仮想デスクトップやWindowsクライアントの運用・構築、OS/アプリ更新、パッチ適用、権限管理、障害対応、更改プロジェクト支援など。数千台規模のクライアントを扱う環境。
"仮想デスクトップ系ソリューション運用・構築, Windowsクライアント運用・構築, バッチ系スクリプト, PowerShell, Windowsサーバ構築, 仮想化基盤運用・構築, クライアント管理ツール, Active Directory, 障害対応","外国籍可, 大規模ユーザー環境のクライアント基盤運用・保守/更改, 長期安定案件, 勤務地:神谷町, 開始時期:即日～長期, 人数:2名, 国籍・年齢不問, 大規模更新時に休日作業の可能性あり(年数回), パッチ対応等の夜間作業あり(月1回)",スキル見合い（75万）,大規模ユーザー環境のクライアント基盤運用・保守/更改案件。仮想デスクトップやWindowsクライアントの運用・構築経験を活かせる長期安定案件。神谷町勤務で、仮想デスクトップ、Windowsクライアント、PowerShell、Windowsサーバの経験が必須。単価はスキル見合いで75万円。外国籍・年齢不問で2名募集。
"Linux, RHEL, Oracle, Apache, Tomcat, Java, Spring, Struts, 仮想基盤, ミドルウェア","西葛西常駐, 2026年1月～7月末, 募集1名, 面談2回, 商流元請け→上位→GFD, 55歳まで, 外国籍不可, 自走・コミュニケーション能力重視",75～80万円,コンプライアンスWAN更改案件。株式市場での不正行為情報共有システムにおける基盤更改。既存システムのOS、DB、APサーバ、Webサーバ、フレームワーク、Javaのマイグレーション作業。Linux設計構築経験が最重要。
"OpenStack, 仮想化環境, Linux, TCP/IP, Office製品, コミュニケーション力, (尚可) TeraTerm, Wireshark",概要: 通信キャリアシステムの仮想化関連業務。OpenStackベースの仮想化基盤のVNFM更改に伴う検証、操作、調整、試験管理。場所: YRP野比駅（常駐）。期間: 2023年12月～2026年10月。精算: 140-180h。面談: 2回（1回目弊社同席）。備考: 定時9:30-18:30、年齢～50代、商流御社まで、外国籍不可、同現場別PJにて弊社経由で1名参画中。,～MAX75万,通信キャリアシステムの仮想化関連業務（OpenStack/仮想化環境/Linux）。VNFM更改に伴う検証、操作、調整、試験管理。
